Dataset,Linear_sep
dataset_50_tic-tac-toe,True
dataset_46_splice,True
dataset_15_breast-w,True
dataset_1475_first-order-theorem-proving,False
dataset_1485_madelon,False
dataset_1053_jm1,False
dataset_29_credit-approval,True
dataset_28_optdigits,False
dataset_458_analcatdata_authorship,True
dataset_1494_qsar-biodeg,True
dataset_6_letter,True
dataset_1050_pc3,True
dataset_1510_wdbc,True
dataset_54_vehicle,True
dataset_1462_banknote-authentication,True
dataset_40978_Internet-Advertisements,False
dataset_40670_dna,True
dataset_1480_ilpd,True
dataset_23381_dresses-sales,True
dataset_22_mfeat-zernike,True
dataset_1468_cnae-9,True
dataset_1478_har,False
dataset_41027_jungle_chess_2pcs_raw_endgame_complete,True
dataset_1067_kc1,False
dataset_4538_GesturePhaseSegmentationProcessed,False
dataset_12_mfeat-factors,True
dataset_40701_churn,True
dataset_1487_ozone-level-8hr,True
dataset_307_vowel,True
dataset_40983_wilt,True
dataset_11_balance-scale,True
dataset_6332_cylinder-bands,True
dataset_1497_wall-robot-navigation,True
dataset_151_electricity,False
dataset_40499_texture,False
dataset_32_pendigits,True
dataset_31_credit-g,True
dataset_1501_semeion,True
dataset_44_spambase,False
dataset_40979_mfeat-pixel,True
dataset_1063_kc2,True
dataset_40982_steel-plates-fault,True
dataset_1486_nomao,False
dataset_4534_PhishingWebsites,True
dataset_40984_segment,False
dataset_182_satimage,True
dataset_3_kr-vs-kp,True
dataset_23_cmc,True
dataset_40966_MiceProtein,True
dataset_1590_adult,True
dataset_23517_numerai28.6,True
dataset_14_mfeat-fourier,True
dataset_40994_climate-model-simulation-crashes,True
dataset_37_diabetes,True
dataset_188_eucalyptus,True
dataset_4134_Bioresponse,False
dataset_1068_pc1,False
dataset_1464_blood-transfusion-service-center,True
dataset_1461_bank-marketing,False
dataset_40975_car,True
dataset_16_mfeat-karhunen,True
dataset_1049_pc4,True
dataset_18_mfeat-morphological,True
dataset_40668_connect-4,False
dataset_1489_phoneme,True
